City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,qurayyat,31.3318,37.3428,23.1,38,0,2.06,SA,1722648081
285,ligatne,57.2343,25.0406,15.7,95,100,1.65,LV,1722648083
286,cao bang,22.6667,106.25,24.13,97,100,1.1,VN,1722648084
287,kushnarenkovo,55.105,55.3508,11.59,95,24,2.68,RU,1722648085
288,holualoa,19.6228,-155.9522,26.91,72,40,4.12,US,1722648086
289,tutoia,-2.7619,-42.2744,25.93,76,8,5.48,BR,1722648088
290,syas'stroy,60.1367,32.5691,13.6,95,100,2.43,RU,1722648089
291,ippy,6.2679,21.2247,22.19,88,100,1.08,CF,1722648090
292,sidney,-33.8679,151.2073,16.86,65,0,3.09,AU,1722648092
293,halden,59.1226,11.3871,15.24,93,99,1.12,NO,1722648093
294,uthai thani,15.3833,99.55,24.35,94,100,1.78,TH,1722648094
295,rio verde de mato grosso,-18.9181,-54.8442,24.45,31,0,2.95,BR,1722648095
296,bathsheba,13.2167,-59.5167,29.34,79,40,7.72,BB,1722648097
297,anzio,41.4853,12.6179,27.14,79,2,3.96,IT,1722648098
298,katsuura,35.1333,140.3,26.46,76,8,2.81,JP,1722648099
299,nzega,-2.479,29.5564,13.09,52,66,1.59,RW,1722648100
300,tangalle,6.024,80.7911,26.26,81,100,4.01,LK,1722648018
301,mana,5.6592,-53.7767,27.2,76,97,3.63,GF,1722648103
302,waitara,-38.925,174.25,10.0,46,12,2.41,NZ,1722648104
303,tsengel,49.4783,100.8894,15.02,71,100,1.4,MN,1722648105
304,qaqortoq,60.7167,-46.0333,7.54,75,0,0.74,GL,1722648107
305,cukurca,37.2481,43.6136,20.78,35,1,2.88,TR,1722648108
306,kem',64.9555,34.5793,10.99,92,18,4.87,RU,1722648109
307,waddan,29.1614,16.139,25.83,50,0,2.08,LY,1722648111
308,huarmey,-10.0681,-78.1522,17.4,84,1,5.13,PE,1722648112
309,rio san juan,19.6439,-70.0763,26.42,88,88,4.17,DO,1722648113
310,east london,-33.0153,27.9116,14.05,82,0,2.07,ZA,1722648114
311,neiafu,-18.65,-173.9833,26.38,69,20,4.12,TO,1722648116
312,aykol,38.1751,77.2132,28.62,33,100,0.37,CN,1722648117
313,mount isa,-20.7333,139.5,23.87,38,0,6.69,AU,1722648118
314,bodaybo,57.8506,114.1933,17.78,73,18,0.76,RU,1722648119
315,kitui,-1.367,38.0106,16.82,85,100,4.02,KE,1722648121
316,tabou,4.423,-7.3528,24.11,82,100,4.55,CI,1722648122
317,karratha,-20.7377,116.8463,21.17,73,53,4.22,AU,1722648123
318,al jawf,29.5,38.75,25.44,32,0,4.23,SA,1722648124
319,zaragoza,41.6561,-0.8773,20.27,60,0,11.83,ES,1722648126
320,kawambwa,-9.7915,29.0791,14.16,43,6,3.11,ZM,1722648127
321,bachhrawan,26.4833,81.1167,28.04,77,99,3.58,IN,1722648128
322,sierra grande,-41.606,-65.3557,13.22,36,100,10.56,AR,1722648130
323,nadym,65.5333,72.5167,18.95,64,56,5.73,RU,1722648131
324,ambalangoda,6.2355,80.0538,27.77,85,87,3.76,LK,1722648132
325,udachny,66.4167,112.4,16.63,56,100,1.42,RU,1722648134
326,paros,37.0833,25.15,25.77,64,0,2.06,GR,1722648135
327,gao,16.6362,1.637,26.83,66,100,6.01,ML,1722648136
328,hun,29.1268,15.9477,26.24,46,0,2.15,LY,1722648138
329,kargasok,59.0556,80.8572,18.06,80,100,3.6,RU,1722648139
330,lufkin,31.3382,-94.7291,31.26,83,6,1.47,US,1722648031
331,nyurba,63.2842,118.3319,18.65,45,19,0.33,RU,1722648142
332,mount joy,40.1098,-76.5033,27.54,76,75,1.79,US,1722648143
333,bayanhongor,46.7167,100.1167,10.07,63,8,0.46,MN,1722648144
334,richards bay,-28.783,32.0377,18.33,84,28,2.55,ZA,1722648145
335,belaya kholunitsa,58.84,50.8528,12.37,98,52,1.29,RU,1722648147
336,constitucion,-35.3333,-72.4167,10.81,89,88,4.04,CL,1722647940
337,fauske,67.2588,15.3918,16.02,81,48,1.71,NO,1722648149
338,minab,27.1467,57.0801,32.07,77,100,3.84,IR,1722648151
339,santo antonio do ica,-3.1022,-67.9397,23.7,86,9,1.24,BR,1722648152
340,argo,37.6333,22.7333,24.32,45,0,2.03,GR,1722648153
341,meadow lakes,61.6247,-149.6011,17.45,74,100,3.6,US,1722648154
342,arraial do cabo,-22.9661,-42.0278,22.03,78,0,8.94,BR,1722648072
343,kirensk,57.7853,108.1119,19.18,53,15,1.75,RU,1722648157
344,budleigh salterton,50.6298,-3.3218,19.1,83,75,3.6,GB,1722648158
345,tabas,33.5959,56.9244,32.12,22,1,2.06,IR,1722648159
346,puerto real,36.5282,-6.1901,22.09,94,0,1.54,ES,1722648161
347,morden,49.1919,-98.1014,25.92,53,25,1.54,CA,1722648162
348,paracale,14.2804,122.7881,29.71,68,7,0.86,PH,1722648163
349,vila franca do campo,37.7167,-25.4333,22.23,89,1,2.12,PT,1722648164
350,chibougamau,49.9168,-74.3659,17.79,100,75,1.54,CA,1722648166
351,sao joao da barra,-21.6403,-41.0511,22.39,76,5,6.17,BR,1722648167
352,vila velha,-20.3297,-40.2925,21.97,96,100,1.54,BR,1722648168
353,la'ie,21.6477,-157.9253,29.98,71,100,2.68,US,1722648169
354,sarakhs,36.5449,61.1577,26.73,27,0,3.97,IR,1722648171
355,arkalyk,50.2486,66.9114,18.56,57,0,2.74,KZ,1722648172
356,pacific grove,36.6177,-121.9166,21.42,88,20,3.09,US,1722648173
357,la passe,45.5549,-0.8967,16.13,87,0,4.22,FR,1722648175
358,priob'ye,62.5206,65.5964,15.6,93,6,2.49,RU,1722648176
359,barra de santo antonio,-9.4047,-35.5072,23.6,80,0,5.88,BR,1722648177
360,namibe,-15.1961,12.1522,18.1,88,0,0.35,AO,1722648178
361,pocatello,42.8713,-112.4455,36.95,12,0,2.57,US,1722648181
362,calama,-22.4667,-68.9333,11.27,24,0,4.12,CL,1722648182
